,precision,recall,f1-score,support
Analysis,0.0758,0.2822,0.1195,535.0000
Backdoor,0.0411,0.6825,0.0776,359.0000
DoS,0.2890,0.0572,0.0955,3271.0000
Exploits,0.6075,0.4903,0.5426,8905.0000
Fuzzers,0.3776,0.8342,0.5199,4849.0000
Generic,0.9996,0.9683,0.9837,43096.0000
Normal,1.0000,0.9823,0.9911,443860.0000
Reconnaissance,0.8264,0.8181,0.8222,2798.0000
Shellcode,0.1939,0.5497,0.2867,302.0000
Worms,0.0804,0.2571,0.1224,35.0000
accuracy,0.9630,0.9630,0.9630,0.9630
macro avg,0.4491,0.5922,0.4561,508010.0000
weighted avg,0.9794,0.9630,0.9694,508010.0000
