,precision,recall,f1-score,support
Analysis,0.0235,0.0748,0.0357,535.0000
Backdoor,0.0376,0.6992,0.0713,359.0000
DoS,0.2742,0.0052,0.0102,3271.0000
Exploits,0.5995,0.4270,0.4987,8905.0000
Fuzzers,0.2964,0.5422,0.3832,4849.0000
Generic,0.9917,0.9636,0.9774,43096.0000
Normal,0.9999,0.9794,0.9895,443860.0000
Reconnaissance,0.2643,0.3567,0.3036,2798.0000
Shellcode,0.0182,0.1523,0.0325,302.0000
Worms,0.0028,0.1143,0.0055,35.0000
accuracy,0.9528,0.9528,0.9528,0.9528
macro avg,0.3508,0.4315,0.3308,508010.0000
weighted avg,0.9744,0.9528,0.9617,508010.0000
