Model,accuracy,precision,recall,f1,auc
HGB,0.9647,0.9806,0.9647,0.9707,0.9977
HGB,0.9650,0.9806,0.9650,0.9710,0.9974
HGB,0.9672,0.9803,0.9672,0.9721,0.9978
HGB,0.9639,0.9800,0.9639,0.9701,0.9977
HGB,0.9647,0.9803,0.9647,0.9707,0.9977
XGBoost,0.9115,0.9555,0.9115,0.9291,0.9823
XGBoost,0.9077,0.9539,0.9077,0.9265,0.9831
XGBoost,0.8987,0.9519,0.8987,0.9207,0.9840
XGBoost,0.9075,0.9540,0.9075,0.9263,0.9826
XGBoost,0.9098,0.9537,0.9098,0.9274,0.9826
LogReg,0.9554,0.9763,0.9554,0.9638,0.9906
LogReg,0.9545,0.9747,0.9545,0.9628,0.9917
LogReg,0.9585,0.9762,0.9585,0.9662,0.9923
LogReg,0.9553,0.9761,0.9553,0.9637,0.9909
LogReg,0.9558,0.9764,0.9558,0.9641,0.9911
