,precision,recall,f1-score,support
Analysis,0.5882,0.0187,0.0362,535.0000
Backdoor,0.5476,0.0641,0.1147,359.0000
DoS,0.6250,0.0168,0.0327,3271.0000
Exploits,0.5811,0.8782,0.6994,8905.0000
Fuzzers,0.6621,0.3374,0.4470,4849.0000
Generic,0.9977,0.9761,0.9868,43096.0000
Normal,0.9909,0.9980,0.9945,443860.0000
Reconnaissance,0.9099,0.7870,0.8440,2798.0000
Shellcode,0.5987,0.6126,0.6056,302.0000
Worms,0.8125,0.3714,0.5098,35.0000
accuracy,0.9783,0.9783,0.9783,0.9783
macro avg,0.7314,0.5060,0.5271,508010.0000
weighted avg,0.9774,0.9783,0.9745,508010.0000
