,precision,recall,f1-score,support
Analysis,0.0000,0.0000,0.0000,19.0000
Backdoor,0.2000,0.1111,0.1429,18.0000
DoS,0.0000,0.0000,0.0000,22.0000
Exploits,0.1000,0.0556,0.0714,18.0000
Fuzzers,0.1250,0.0400,0.0606,25.0000
Generic,0.1429,0.2000,0.1667,20.0000
Normal,0.2266,0.7073,0.3432,41.0000
Reconnaissance,0.1667,0.0556,0.0833,18.0000
Shellcode,0.0000,0.0000,0.0000,10.0000
Worms,0.0000,0.0000,0.0000,9.0000
accuracy,0.1900,0.1900,0.1900,0.1900
macro avg,0.0961,0.1170,0.0868,200.0000
weighted avg,0.1184,0.1900,0.1214,200.0000
