,precision,recall,f1-score,support
Analysis,0.0795,0.2897,0.1247,535.0000
Backdoor,0.0434,0.7214,0.0820,359.0000
DoS,0.3367,0.1024,0.1571,3271.0000
Exploits,0.7516,0.5220,0.6161,8905.0000
Fuzzers,0.4165,0.8602,0.5612,4849.0000
Generic,1.0000,0.9732,0.9864,43096.0000
Normal,1.0000,0.9856,0.9927,443860.0000
Reconnaissance,0.8356,0.8284,0.8320,2798.0000
Shellcode,0.3187,0.6755,0.4331,302.0000
Worms,0.2188,0.6000,0.3206,35.0000
accuracy,0.9675,0.9675,0.9675,0.9675
macro avg,0.5001,0.6558,0.5106,508010.0000
weighted avg,0.9828,0.9675,0.9733,508010.0000
