,precision,recall,f1-score,support
Analysis,0.0333,0.1626,0.0553,535.0000
Backdoor,0.0384,0.5933,0.0722,359.0000
DoS,0.1608,0.0532,0.0799,3271.0000
Exploits,0.6877,0.4226,0.5235,8905.0000
Fuzzers,0.3174,0.6424,0.4249,4849.0000
Generic,0.9876,0.9656,0.9765,43096.0000
Normal,0.9999,0.9810,0.9904,443860.0000
Reconnaissance,0.4489,0.6712,0.5380,2798.0000
Shellcode,0.0803,0.2550,0.1221,302.0000
Worms,0.0055,0.1143,0.0105,35.0000
accuracy,0.9574,0.9574,0.9574,0.9574
macro avg,0.3760,0.4861,0.3793,508010.0000
weighted avg,0.9761,0.9574,0.9651,508010.0000
