Model,accuracy,precision,recall,f1,auc
HGB,0.9685,0.9822,0.9685,0.9740,0.9981
HGB,0.9669,0.9811,0.9669,0.9724,0.9981
HGB,0.9676,0.9822,0.9676,0.9731,0.9979
HGB,0.9670,0.9827,0.9670,0.9730,0.9980
HGB,0.9676,0.9820,0.9676,0.9731,0.9977
XGBoost,0.9544,0.9772,0.9544,0.9642,0.9894
XGBoost,0.9542,0.9767,0.9542,0.9637,0.9891
XGBoost,0.9543,0.9768,0.9543,0.9637,0.9895
XGBoost,0.9537,0.9760,0.9537,0.9633,0.9897
XGBoost,0.9541,0.9765,0.9541,0.9635,0.9889
LogReg,0.9574,0.9767,0.9574,0.9653,0.9970
LogReg,0.9584,0.9767,0.9584,0.9658,0.9972
LogReg,0.9572,0.9765,0.9572,0.9651,0.9971
LogReg,0.9573,0.9770,0.9573,0.9654,0.9968
LogReg,0.9581,0.9767,0.9581,0.9654,0.9972
