,precision,recall,f1-score,support
Analysis,0.0575,0.2505,0.0935,535.0000
Backdoor,0.0250,0.4986,0.0477,359.0000
DoS,0.3067,0.0856,0.1338,3271.0000
Exploits,0.5618,0.5459,0.5537,8905.0000
Fuzzers,0.3839,0.7818,0.5150,4849.0000
Generic,0.5150,0.9732,0.6736,43096.0000
Normal,0.9988,0.8771,0.9340,443860.0000
Reconnaissance,0.9252,0.6944,0.7934,2798.0000
Shellcode,0.0262,0.4669,0.0496,302.0000
Worms,0.0097,0.1143,0.0179,35.0000
accuracy,0.8712,0.8712,0.8712,0.8712
macro avg,0.3810,0.5288,0.3812,508010.0000
weighted avg,0.9371,0.8712,0.8932,508010.0000
