,precision,recall,f1-score,support
Analysis,0.6471,0.0206,0.0399,535.0000
Backdoor,0.7500,0.0334,0.0640,359.0000
DoS,0.3385,0.0807,0.1303,3271.0000
Exploits,0.5790,0.8241,0.6802,8905.0000
Fuzzers,0.6113,0.3081,0.4097,4849.0000
Generic,0.9984,0.9742,0.9861,43096.0000
Normal,0.9903,0.9981,0.9942,443860.0000
Reconnaissance,0.8698,0.7834,0.8244,2798.0000
Shellcode,0.6336,0.2748,0.3834,302.0000
Worms,0.0000,0.0000,0.0000,35.0000
accuracy,0.9772,0.9772,0.9772,0.9772
macro avg,0.6418,0.4298,0.4512,508010.0000
weighted avg,0.9745,0.9772,0.9738,508010.0000
