,precision,recall,f1-score,support
Analysis,0.0000,0.0000,0.0000,535.0000
Backdoor,0.0000,0.0000,0.0000,359.0000
DoS,0.3180,0.1947,0.2416,3271.0000
Exploits,0.2160,0.3294,0.2609,8905.0000
Fuzzers,0.2250,0.1200,0.1565,4849.0000
Generic,0.9519,0.9738,0.9627,43096.0000
Normal,0.9856,0.9872,0.9864,443860.0000
Reconnaissance,0.7988,0.3320,0.4691,2798.0000
Shellcode,0.0000,0.0000,0.0000,302.0000
Worms,0.0000,0.0000,0.0000,35.0000
accuracy,0.9551,0.9551,0.9551,0.9551
macro avg,0.3495,0.2937,0.3077,508010.0000
weighted avg,0.9543,0.9551,0.9537,508010.0000
