Model,accuracy,precision,recall,f1,auc
HGB,0.1437,0.0836,0.1437,0.0946,0.4983
HGB,0.0938,0.0594,0.0938,0.0670,0.4882
HGB,0.1313,0.0930,0.1313,0.0968,0.4893
HGB,0.1562,0.1053,0.1562,0.1192,0.4513
HGB,0.1313,0.1032,0.1313,0.1019,0.5102
XGBoost,0.2062,0.0425,0.2062,0.0705,0.5000
XGBoost,0.2000,0.0400,0.2000,0.0667,0.5000
XGBoost,0.2000,0.0400,0.2000,0.0667,0.5000
XGBoost,0.2062,0.0425,0.2062,0.0705,0.5000
XGBoost,0.2062,0.0425,0.2062,0.0705,0.5000
LogReg,0.1750,0.0958,0.1750,0.1019,0.4865
LogReg,0.1375,0.1133,0.1375,0.0960,0.4746
LogReg,0.1187,0.1109,0.1187,0.0867,0.4740
LogReg,0.1562,0.1110,0.1562,0.1120,0.4644
LogReg,0.1250,0.1222,0.1250,0.1035,0.4935
