,precision,recall,f1-score,support
Analysis,0.0000,0.0000,0.0000,19.0000
Backdoor,0.0000,0.0000,0.0000,18.0000
DoS,0.0000,0.0000,0.0000,22.0000
Exploits,0.0000,0.0000,0.0000,18.0000
Fuzzers,0.0000,0.0000,0.0000,25.0000
Generic,0.0000,0.0000,0.0000,20.0000
Normal,0.2050,1.0000,0.3402,41.0000
Reconnaissance,0.0000,0.0000,0.0000,18.0000
Shellcode,0.0000,0.0000,0.0000,10.0000
Worms,0.0000,0.0000,0.0000,9.0000
accuracy,0.2050,0.2050,0.2050,0.2050
macro avg,0.0205,0.1000,0.0340,200.0000
weighted avg,0.0420,0.2050,0.0698,200.0000
