,precision,recall,f1-score,support
Analysis,0.0556,0.0526,0.0541,19.0000
Backdoor,0.0833,0.1111,0.0952,18.0000
DoS,0.1053,0.0909,0.0976,22.0000
Exploits,0.1818,0.2222,0.2000,18.0000
Fuzzers,0.1765,0.1200,0.1429,25.0000
Generic,0.1818,0.2000,0.1905,20.0000
Normal,0.3333,0.2195,0.2647,41.0000
Reconnaissance,0.1500,0.1667,0.1579,18.0000
Shellcode,0.0000,0.0000,0.0000,10.0000
Worms,0.0000,0.0000,0.0000,9.0000
accuracy,0.1400,0.1400,0.1400,0.1400
macro avg,0.1268,0.1183,0.1203,200.0000
weighted avg,0.1628,0.1400,0.1478,200.0000
