,precision,recall,f1-score,support
Analysis,0.0000,0.0000,0.0000,42.0000
Backdoor,0.0000,0.0000,0.0000,28.0000
DoS,0.0055,0.0467,0.0099,257.0000
Exploits,0.2152,0.2382,0.2261,701.0000
Fuzzers,0.0250,0.2408,0.0453,382.0000
Generic,0.0879,0.0071,0.0131,3394.0000
Normal,0.9999,0.8845,0.9387,34949.0000
Reconnaissance,0.1304,0.3864,0.1950,220.0000
Shellcode,0.0076,0.1250,0.0144,24.0000
Worms,0.0194,0.6667,0.0377,3.0000
accuracy,0.7824,0.7824,0.7824,0.7824
macro avg,0.1491,0.2595,0.1480,40000.0000
weighted avg,0.8859,0.7824,0.8268,40000.0000
