Model,accuracy,precision,recall,f1,auc
HGB,0.9645,0.9804,0.9645,0.9706,0.9977
HGB,0.9645,0.9803,0.9645,0.9706,0.9974
HGB,0.9669,0.9800,0.9669,0.9719,0.9978
HGB,0.9638,0.9800,0.9638,0.9700,0.9976
HGB,0.9646,0.9803,0.9646,0.9707,0.9976
XGBoost,0.9206,0.9565,0.9206,0.9360,0.9873
XGBoost,0.9190,0.9546,0.9190,0.9342,0.9874
XGBoost,0.9227,0.9572,0.9227,0.9373,0.9881
XGBoost,0.9241,0.9572,0.9241,0.9385,0.9872
XGBoost,0.9191,0.9555,0.9191,0.9347,0.9872
LogReg,0.9551,0.9760,0.9551,0.9635,0.9906
LogReg,0.9540,0.9743,0.9540,0.9624,0.9917
LogReg,0.9581,0.9758,0.9581,0.9658,0.9923
LogReg,0.9549,0.9758,0.9549,0.9634,0.9908
LogReg,0.9554,0.9760,0.9554,0.9637,0.9911
