,precision,recall,f1-score,support
Analysis,0.2500,0.0187,0.0348,535.0000
Backdoor,1.0000,0.0084,0.0166,359.0000
DoS,0.3655,0.0266,0.0496,3271.0000
Exploits,0.5506,0.8376,0.6644,8905.0000
Fuzzers,0.4988,0.2108,0.2963,4849.0000
Generic,0.9972,0.9741,0.9855,43096.0000
Normal,0.9888,0.9971,0.9929,443860.0000
Reconnaissance,0.8212,0.6269,0.7110,2798.0000
Shellcode,0.3765,0.4139,0.3943,302.0000
Worms,1.0000,0.0286,0.0556,35.0000
accuracy,0.9744,0.9744,0.9744,0.9744
macro avg,0.6849,0.4143,0.4201,508010.0000
weighted avg,0.9711,0.9744,0.9702,508010.0000
