,precision,recall,f1-score,support
Analysis,0.0000,0.0000,0.0000,19.0000
Backdoor,0.1364,0.1667,0.1500,18.0000
DoS,0.1429,0.0909,0.1111,22.0000
Exploits,0.1000,0.0556,0.0714,18.0000
Fuzzers,0.2308,0.1200,0.1579,25.0000
Generic,0.1176,0.1000,0.1081,20.0000
Normal,0.2346,0.4634,0.3115,41.0000
Reconnaissance,0.1111,0.1111,0.1111,18.0000
Shellcode,0.0000,0.0000,0.0000,10.0000
Worms,0.0000,0.0000,0.0000,9.0000
accuracy,0.1600,0.1600,0.1600,0.1600
macro avg,0.1073,0.1108,0.1021,200.0000
weighted avg,0.1357,0.1600,0.1366,200.0000
