Model,accuracy,precision,recall,f1,auc
HGB,0.9745,0.9704,0.9745,0.9700,0.9991
HGB,0.9744,0.9709,0.9744,0.9703,0.9991
HGB,0.9745,0.9701,0.9745,0.9700,0.9991
HGB,0.9743,0.9701,0.9743,0.9699,0.9991
HGB,0.9744,0.9706,0.9744,0.9698,0.9991
XGBoost,0.9130,0.8795,0.9130,0.8860,0.9938
XGBoost,0.9119,0.8785,0.9119,0.8844,0.9938
XGBoost,0.9127,0.8792,0.9127,0.8856,0.9940
XGBoost,0.9103,0.8772,0.9103,0.8822,0.9940
XGBoost,0.9140,0.8802,0.9140,0.8873,0.9938
LogReg,0.9685,0.9636,0.9685,0.9655,0.9976
LogReg,0.9696,0.9658,0.9696,0.9663,0.9979
LogReg,0.9687,0.9639,0.9687,0.9658,0.9977
LogReg,0.9685,0.9642,0.9685,0.9655,0.9977
LogReg,0.9687,0.9637,0.9687,0.9656,0.9977
