,precision,recall,f1-score,support
Analysis,0.1040,0.3533,0.1606,535.0000
Backdoor,0.0400,0.6212,0.0751,359.0000
DoS,0.2881,0.1174,0.1668,3271.0000
Exploits,0.7114,0.4248,0.5320,8905.0000
Fuzzers,0.3490,0.7039,0.4666,4849.0000
Generic,0.9995,0.9682,0.9836,43096.0000
Normal,0.9998,0.9820,0.9909,443860.0000
Reconnaissance,0.6838,0.7852,0.7310,2798.0000
Shellcode,0.0870,0.7318,0.1555,302.0000
Worms,0.0322,0.6571,0.0614,35.0000
accuracy,0.9607,0.9607,0.9607,0.9607
macro avg,0.4295,0.6345,0.4324,508010.0000
weighted avg,0.9800,0.9607,0.9684,508010.0000
