,precision,recall,f1-score,support
Analysis,0.0000,0.0000,0.0000,19.0000
Backdoor,0.0357,0.0556,0.0435,18.0000
DoS,0.1765,0.1364,0.1538,22.0000
Exploits,0.1176,0.1111,0.1143,18.0000
Fuzzers,0.3529,0.2400,0.2857,25.0000
Generic,0.0870,0.1000,0.0930,20.0000
Normal,0.3333,0.1463,0.2034,41.0000
Reconnaissance,0.2105,0.2222,0.2162,18.0000
Shellcode,0.0476,0.1000,0.0645,10.0000
Worms,0.0000,0.0000,0.0000,9.0000
accuracy,0.1250,0.1250,0.1250,0.1250
macro avg,0.1361,0.1112,0.1174,200.0000
weighted avg,0.1757,0.1250,0.1405,200.0000
