Model,accuracy,precision,recall,f1,auc
HGB,0.9614,0.9797,0.9614,0.9685,0.9971
HGB,0.9653,0.9806,0.9653,0.9713,0.9971
HGB,0.9626,0.9813,0.9626,0.9691,0.9972
HGB,0.9605,0.9800,0.9605,0.9683,0.9972
HGB,0.9614,0.9802,0.9614,0.9688,0.9972
XGBoost,0.8546,0.9372,0.8546,0.8886,0.9692
XGBoost,0.8559,0.9340,0.8559,0.8884,0.9723
XGBoost,0.8552,0.9342,0.8552,0.8880,0.9742
XGBoost,0.8470,0.9357,0.8470,0.8840,0.9737
XGBoost,0.8475,0.9380,0.8475,0.8854,0.9709
LogReg,0.9592,0.9785,0.9592,0.9667,0.9947
LogReg,0.9602,0.9792,0.9602,0.9683,0.9954
LogReg,0.9569,0.9802,0.9569,0.9660,0.9952
LogReg,0.9592,0.9796,0.9592,0.9678,0.9946
LogReg,0.9590,0.9791,0.9590,0.9669,0.9947
