,precision,recall,f1-score,support
Analysis,0.0383,0.2381,0.0660,42.0000
Backdoor,0.0278,0.2143,0.0492,28.0000
DoS,0.2009,0.3580,0.2573,257.0000
Exploits,0.0865,0.4137,0.1431,701.0000
Fuzzers,0.0299,0.2016,0.0522,382.0000
Generic,0.7698,0.9311,0.8428,3394.0000
Normal,0.9927,0.7942,0.8824,34949.0000
Reconnaissance,0.1333,0.3091,0.1863,220.0000
Shellcode,0.0122,0.2083,0.0230,24.0000
Worms,0.0064,0.3333,0.0125,3.0000
accuracy,0.7866,0.7866,0.7866,0.7866
macro avg,0.2298,0.4002,0.2515,40000.0000
weighted avg,0.9366,0.7866,0.8483,40000.0000
