,precision,recall,f1-score,support
Analysis,0.6471,0.0206,0.0399,535.0000
Backdoor,0.6842,0.0724,0.1310,359.0000
DoS,0.4091,0.2421,0.3042,3271.0000
Exploits,0.6123,0.8444,0.7099,8905.0000
Fuzzers,0.6921,0.3069,0.4252,4849.0000
Generic,0.9978,0.9795,0.9886,43096.0000
Normal,0.9919,0.9980,0.9950,443860.0000
Reconnaissance,0.9212,0.7809,0.8453,2798.0000
Shellcode,0.5903,0.6060,0.5980,302.0000
Worms,0.6500,0.3714,0.4727,35.0000
accuracy,0.9791,0.9791,0.9791,0.9791
macro avg,0.7196,0.5222,0.5510,508010.0000
weighted avg,0.9779,0.9791,0.9768,508010.0000
