,precision,recall,f1-score,support
Analysis,0.0000,0.0000,0.0000,19.0000
Backdoor,0.1364,0.1667,0.1500,18.0000
DoS,0.0000,0.0000,0.0000,22.0000
Exploits,0.0000,0.0000,0.0000,18.0000
Fuzzers,0.1579,0.1200,0.1364,25.0000
Generic,0.1111,0.1000,0.1053,20.0000
Normal,0.2267,0.4146,0.2931,41.0000
Reconnaissance,0.1111,0.1111,0.1111,18.0000
Shellcode,0.0000,0.0000,0.0000,10.0000
Worms,0.0000,0.0000,0.0000,9.0000
accuracy,0.1350,0.1350,0.1350,0.1350
macro avg,0.0743,0.0912,0.0796,200.0000
weighted avg,0.0996,0.1350,0.1112,200.0000
