Model,accuracy,precision,recall,f1,auc
HGB,0.1812,0.1624,0.1812,0.1379,0.5121
HGB,0.1688,0.1068,0.1688,0.1185,0.4786
HGB,0.1062,0.0587,0.1062,0.0693,0.4575
HGB,0.1250,0.0663,0.1250,0.0799,0.4592
HGB,0.1750,0.1377,0.1750,0.1295,0.5214
XGBoost,0.2062,0.0425,0.2062,0.0705,0.5000
XGBoost,0.2000,0.0400,0.2000,0.0667,0.5000
XGBoost,0.2000,0.0400,0.2000,0.0667,0.5000
XGBoost,0.2062,0.0425,0.2062,0.0705,0.5000
XGBoost,0.2062,0.0425,0.2062,0.0705,0.5000
LogReg,0.1062,0.0901,0.1062,0.0967,0.4512
LogReg,0.1187,0.1062,0.1187,0.1076,0.4859
LogReg,0.1437,0.1176,0.1437,0.1244,0.5014
LogReg,0.1562,0.1413,0.1562,0.1412,0.4729
LogReg,0.1562,0.1362,0.1562,0.1395,0.5053
