,precision,recall,f1-score,support
Analysis,0.0000,0.0000,0.0000,535.0000
Backdoor,0.0000,0.0000,0.0000,359.0000
DoS,0.3238,0.2495,0.2818,3271.0000
Exploits,0.7750,0.2832,0.4148,8905.0000
Fuzzers,0.0000,0.0000,0.0000,4849.0000
Generic,0.9997,0.9731,0.9862,43096.0000
Normal,0.9653,0.9999,0.9823,443860.0000
Reconnaissance,1.0000,0.1798,0.3048,2798.0000
Shellcode,0.0000,0.0000,0.0000,302.0000
Worms,0.0000,0.0000,0.0000,35.0000
accuracy,0.9638,0.9638,0.9638,0.9638
macro avg,0.4064,0.2685,0.2970,508010.0000
weighted avg,0.9494,0.9638,0.9527,508010.0000
