,precision,recall,f1-score,support
Analysis,0.0614,0.4710,0.1086,535.0000
Backdoor,0.0270,0.3510,0.0501,359.0000
DoS,0.3157,0.1113,0.1646,3271.0000
Exploits,0.3120,0.3397,0.3253,8905.0000
Fuzzers,0.3058,0.6121,0.4078,4849.0000
Generic,0.7443,0.9604,0.8386,43096.0000
Normal,0.9987,0.9307,0.9635,443860.0000
Reconnaissance,0.6300,0.6823,0.6551,2798.0000
Shellcode,0.0564,0.8510,0.1058,302.0000
Worms,0.0147,0.7714,0.0288,35.0000
accuracy,0.9122,0.9122,0.9122,0.9122
macro avg,0.3466,0.6081,0.3648,508010.0000
weighted avg,0.9498,0.9122,0.9275,508010.0000
